Date,Sales
2015-01-31,1124.8357076505617
2015-02-28,1166.2918656983286
2015-03-31,1232.3844269050346
2015-04-30,1249.356573577289
2015-05-31,1088.2923312638331
2015-06-30,988.293152152541
2015-07-31,978.9606407753696
2015-08-31,865.1666557007577
2015-09-30,776.5262807032524
2015-10-31,853.9229214224106
2015-11-30,876.8291153593768
2015-12-31,976.7135123214872
2016-01-31,1112.0981135783018
2016-02-29,1077.5410685239979
2016-03-31,1113.7541083743483
2016-04-30,1145.0907042948393
2016-05-31,1049.358443983279
2016-06-30,1015.7123666297637
2016-07-31,854.5987962239394
2016-08-31,756.1797341763478
2016-09-30,873.2824384460777
2016-10-31,815.5061042187855
2016-11-30,903.3764102343961
2016-12-31,928.7625906893271
2017-01-31,1072.780863773741
2017-02-28,1178.7512102423811
2017-03-31,1142.4503211288848
2017-04-30,1191.9899816741713
2017-05-31,1069.9680655040597
2017-06-30,985.4153125103362
2017-07-31,869.9146693885301
2017-08-31,919.4088284685592
2017-09-30,799.3251387631033
2017-10-31,773.9093727953173
2017-11-30,941.1272456051594
2017-12-31,938.9578175014489
2018-01-31,1110.4431797502377
2018-02-28,1075.2215745628991
2018-03-31,1133.5906975550786
2018-04-30,1183.048142550344
2018-05-31,1136.9233289997705
2018-06-30,1008.5684140594985
2018-07-31,894.217585880588
2018-08-31,811.7397344636479
2018-09-30,726.0739004816286
2018-10-31,790.8027088233769
2018-11-30,876.9680614520105
2018-12-31,1052.8561113109458
2019-01-31,1117.1809144784231
2019-02-28,1085.0530729887512
2019-03-31,1216.2041984697398
2019-04-30,1153.950966736072
2019-05-31,1066.153899984702
2019-06-30,1030.5838144420434
2019-07-31,951.5499761247976
2019-08-31,873.3589251989222
2019-09-30,758.039123838868
2019-10-31,811.3343004505516
2019-11-30,916.563171570178
2019-12-31,1048.777256356118
2020-01-31,1076.0412881077355
2020-02-29,1163.922131923697
2020-03-31,1144.6832512996987
2020-04-30,1113.3947495528544
2020-05-31,1140.62629111971
2020-06-30,1067.8120014285412
2020-07-31,896.3994939209833
2020-08-31,876.9715641377135
2020-09-30,818.0818012523818
2020-10-31,794.538931512856
2020-11-30,918.0697802754206
2020-12-31,1076.9018283232986
2021-01-31,1098.2086980445024
2021-02-28,1251.4372635475881
2021-03-31,1069.0127447955128
2021-04-30,1214.300205975649
2021-05-31,1104.3523534119086
2021-06-30,985.0496324767066
2021-07-31,904.5880388267751
2021-08-31,727.4164735130677
2021-09-30,789.0164056081244
2021-10-31,844.6505478186996
2021-11-30,973.8947022370756
2021-12-31,974.0864890863177
2022-01-31,1059.5753198553407
2022-02-28,1148.117228577661
2022-03-31,1245.7701058851037
2022-04-30,1189.642636239872
2022-05-31,1073.5119898116482
2022-06-30,1025.6633716556678
2022-07-31,904.8538774674021
2022-08-31,875.2271687697568
2022-09-30,764.8973453061324
2022-10-31,810.4118119132239
2022-11-30,880.394592343392
2022-12-31,926.824252593394
2023-01-31,1114.8060138532287
2023-02-28,1186.2578443658822
2023-03-31,1200.255672832123
2023-04-30,1161.4757240881304
2023-05-31,1029.2314628974793
2023-06-30,978.9677338617321
2023-07-31,882.8642741736616
2023-08-31,786.6810557820313
2023-09-30,791.9357144166995
2023-10-31,846.9974620838392
2023-11-30,994.3092950605264
2023-12-31,1008.728890641592
2024-01-31,1112.8775195361382
2024-02-29,1169.4827849685794
2024-03-31,1104.0614392350478
2024-04-30,1171.879386984427
2024-05-31,1103.0115104970514
2024-06-30,1123.1621056242643
2024-07-31,890.3819517609438
2024-08-31,841.872286359793
2024-09-30,798.2644115147378
2024-10-31,768.3610173621357
2024-11-30,957.1411407257509
2024-12-31,1037.5966516343387
